sequenceID	source.name	species	subtype	genotype
4CSA_G	ncbi-nuccore-hmpv	HMPV	A	-
AB108700	ncbi-nuccore-hmpv	HMPV	A	A2a
AB108701	ncbi-nuccore-hmpv	HMPV	A	A2a
AB113371	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB113372	ncbi-nuccore-hmpv	HMPV	A	A1
AB113373	ncbi-nuccore-hmpv	HMPV	A	-
AB113374	ncbi-nuccore-hmpv	HMPV	A	-
AB113375	ncbi-nuccore-hmpv	HMPV	A	-
AB113376	ncbi-nuccore-hmpv	HMPV	A	-
AB113377	ncbi-nuccore-hmpv	HMPV	A	-
AB119484	ncbi-nuccore-hmpv	HMPV	B	B2
AB119485	ncbi-nuccore-hmpv	HMPV	A	A2a
AB119486	ncbi-nuccore-hmpv	HMPV	A	-
AB119487	ncbi-nuccore-hmpv	HMPV	A	-
AB119488	ncbi-nuccore-hmpv	HMPV	A	-
AB119489	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB119490	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB119491	ncbi-nuccore-hmpv	HMPV	A	-
AB119492	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB119493	ncbi-nuccore-hmpv	HMPV	B	B2
AB119494	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB126605	ncbi-nuccore-hmpv	HMPV	B	B2
AB126606	ncbi-nuccore-hmpv	HMPV	B	B2
AB126607	ncbi-nuccore-hmpv	HMPV	B	B2
AB126608	ncbi-nuccore-hmpv	HMPV	B	B2
AB126609	ncbi-nuccore-hmpv	HMPV	B	B2
AB126610	ncbi-nuccore-hmpv	HMPV	A	A1
AB126611	ncbi-nuccore-hmpv	HMPV	B	B2
AB126612	ncbi-nuccore-hmpv	HMPV	A	-
AB126613	ncbi-nuccore-hmpv	HMPV	B	B2
AB191391	ncbi-nuccore-hmpv	HMPV	A	A1
AB191392	ncbi-nuccore-hmpv	HMPV	A	A1
AB191393	ncbi-nuccore-hmpv	HMPV	A	-
AB191394	ncbi-nuccore-hmpv	HMPV	B	-
AB191395	ncbi-nuccore-hmpv	HMPV	B	-
AB191396	ncbi-nuccore-hmpv	HMPV	A	-
AB194957	ncbi-nuccore-hmpv	HMPV	A	-
AB194958	ncbi-nuccore-hmpv	HMPV	A	A1
AB194959	ncbi-nuccore-hmpv	HMPV	A	-
AB218933	ncbi-nuccore-hmpv	HMPV	B	B1
AB218934	ncbi-nuccore-hmpv	HMPV	B	B2
AB218935	ncbi-nuccore-hmpv	HMPV	B	B1
AB218936	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB218937	ncbi-nuccore-hmpv	HMPV	B	B1
AB218938	ncbi-nuccore-hmpv	HMPV	B	B1
AB218939	ncbi-nuccore-hmpv	HMPV	B	B1
AB218940	ncbi-nuccore-hmpv	HMPV	B	B1
AB218941	ncbi-nuccore-hmpv	HMPV	B	B2
AB218942	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB218943	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB218944	ncbi-nuccore-hmpv	HMPV	B	B1
AB218945	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB218946	ncbi-nuccore-hmpv	HMPV	B	B2
AB218947	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB218948	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB218949	ncbi-nuccore-hmpv	HMPV	A	-
AB218950	ncbi-nuccore-hmpv	HMPV	B	B2
AB218951	ncbi-nuccore-hmpv	HMPV	A	-
AB218952	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB218953	ncbi-nuccore-hmpv	HMPV	B	B1
AB218954	ncbi-nuccore-hmpv	HMPV	B	B1
AB218955	ncbi-nuccore-hmpv	HMPV	A	-
AB218956	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB218957	ncbi-nuccore-hmpv	HMPV	B	B1
AB218958	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB218959	ncbi-nuccore-hmpv	HMPV	A	-
AB251496	ncbi-nuccore-hmpv	HMPV	B	B2
AB251497	ncbi-nuccore-hmpv	HMPV	B	B2
AB251498	ncbi-nuccore-hmpv	HMPV	B	B2
AB251499	ncbi-nuccore-hmpv	HMPV	B	B2
AB251500	ncbi-nuccore-hmpv	HMPV	B	B2
AB251501	ncbi-nuccore-hmpv	HMPV	B	B2
AB251502	ncbi-nuccore-hmpv	HMPV	B	B1
AB251503	ncbi-nuccore-hmpv	HMPV	B	B2
AB251504	ncbi-nuccore-hmpv	HMPV	B	B2
AB251505	ncbi-nuccore-hmpv	HMPV	B	B2
AB251506	ncbi-nuccore-hmpv	HMPV	B	B2
AB251507	ncbi-nuccore-hmpv	HMPV	B	B2
AB251508	ncbi-nuccore-hmpv	HMPV	B	B2
AB251509	ncbi-nuccore-hmpv	HMPV	B	B2
AB251510	ncbi-nuccore-hmpv	HMPV	B	B2
AB251511	ncbi-nuccore-hmpv	HMPV	B	B2
AB251512	ncbi-nuccore-hmpv	HMPV	B	B2
AB251513	ncbi-nuccore-hmpv	HMPV	B	B2
AB251514	ncbi-nuccore-hmpv	HMPV	B	B2
AB251515	ncbi-nuccore-hmpv	HMPV	B	B1
AB251516	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB251517	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB251518	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB251519	ncbi-nuccore-hmpv	HMPV	B	B1
AB251520	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB251521	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB251522	ncbi-nuccore-hmpv	HMPV	B	B1
AB251523	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB251524	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB251525	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB251526	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB251527	ncbi-nuccore-hmpv	HMPV	B	B1
AB251528	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB251529	ncbi-nuccore-hmpv	HMPV	B	B1
AB251530	ncbi-nuccore-hmpv	HMPV	B	B1
AB251531	ncbi-nuccore-hmpv	HMPV	B	B2
AB251532	ncbi-nuccore-hmpv	HMPV	B	B1
AB251533	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB251534	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB251535	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB251536	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB251537	ncbi-nuccore-hmpv	HMPV	A	A2a
AB251538	ncbi-nuccore-hmpv	HMPV	B	B1
AB251539	ncbi-nuccore-hmpv	HMPV	B	B1
AB251540	ncbi-nuccore-hmpv	HMPV	B	B1
AB251541	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB251542	ncbi-nuccore-hmpv	HMPV	B	B1
AB251543	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB251544	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB251545	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB251546	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB251547	ncbi-nuccore-hmpv	HMPV	B	B2
AB251548	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB251549	ncbi-nuccore-hmpv	HMPV	B	B2
AB251550	ncbi-nuccore-hmpv	HMPV	B	B1
AB251551	ncbi-nuccore-hmpv	HMPV	B	B1
AB251552	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB251553	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB251554	ncbi-nuccore-hmpv	HMPV	B	B2
AB251555	ncbi-nuccore-hmpv	HMPV	B	B2
AB251556	ncbi-nuccore-hmpv	HMPV	B	B2
AB251557	ncbi-nuccore-hmpv	HMPV	B	B1
AB251558	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB251559	ncbi-nuccore-hmpv	HMPV	B	B2
AB251560	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB251561	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB251562	ncbi-nuccore-hmpv	HMPV	B	B2
AB251563	ncbi-nuccore-hmpv	HMPV	B	B2
AB251564	ncbi-nuccore-hmpv	HMPV	B	B2
AB251565	ncbi-nuccore-hmpv	HMPV	B	B2
AB251566	ncbi-nuccore-hmpv	HMPV	B	B2
AB251567	ncbi-nuccore-hmpv	HMPV	B	B2
AB251568	ncbi-nuccore-hmpv	HMPV	B	B1
AB251569	ncbi-nuccore-hmpv	HMPV	B	B1
AB251570	ncbi-nuccore-hmpv	HMPV	B	B1
AB251571	ncbi-nuccore-hmpv	HMPV	A	-
AB251572	ncbi-nuccore-hmpv	HMPV	B	B2
AB251573	ncbi-nuccore-hmpv	HMPV	B	B1
AB251574	ncbi-nuccore-hmpv	HMPV	B	B2
AB298403	ncbi-nuccore-hmpv	HMPV	A	-
AB298404	ncbi-nuccore-hmpv	HMPV	A	-
AB298405	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB298406	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB298407	ncbi-nuccore-hmpv	HMPV	A	A2a
AB298408	ncbi-nuccore-hmpv	HMPV	A	A2b2
AB298409	ncbi-nuccore-hmpv	HMPV	A	-
AB298410	ncbi-nuccore-hmpv	HMPV	A	-
AB298411	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB298412	ncbi-nuccore-hmpv	HMPV	A	A1
AB298413	ncbi-nuccore-hmpv	HMPV	A	-
AB298414	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB298415	ncbi-nuccore-hmpv	HMPV	A	-
AB298416	ncbi-nuccore-hmpv	HMPV	A	-
AB298417	ncbi-nuccore-hmpv	HMPV	A	-
AB298418	ncbi-nuccore-hmpv	HMPV	A	A2b2
AB298419	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB298420	ncbi-nuccore-hmpv	HMPV	A	-
AB298421	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB298422	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB298423	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB298424	ncbi-nuccore-hmpv	HMPV	A	-
AB298425	ncbi-nuccore-hmpv	HMPV	A	-
